,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,clusters_3,clusters_4,clusters_5
193,61101,Island of Lemurs: Madagascar,2014-04-04,T,Documentary,503bdedbf83969e2ffba4f2239807802,instagram,page,t,101,6766,['Documentary'],Documentary,2014,4,75000000.0,Warner Bros.,G,Not Original,No,132000000,Documentary,80994410.44,HighBudget,142550162.38,1,1,Top5,1,1,1
194,25858,The Dark Tower (2017),2017-08-04,,"Fantasy, Adventure, Action",1d1dc131220f8b9a52d6e578979beaec,twitter,search_term,t,101,7769,"['Fantasy', 'Adventure', 'Action']",Fantasy,2017,7,60000000.0,Sony Pictures,PG-13,Not Original,No,113200000,Fantasy,62579434.87,HighBudget,118066533.78,3,193,Top100+,2,0,3
195,44000,RoboCop (2014),2014-02-12,,"Sci Fi, Action",b2845724d26d7806962832489b289c39,facebook,search_term,t,101,7769,"['Sci Fi', 'Action']",Sci Fi,2014,4,120000000.0,Sony Pictures,PG-13,Remake,Yes,242600000,Fantasy,129591056.71,HighBudget,261989919.65,1,193,Top100+,2,0,3
196,60979,Insidious: Chapter 2,2013-09-13,,"Horror, Thriller",1e96b538fbcdff6e2d5ee8a0c6664af4,twitter,search_term,t,101,7769,"['Horror', 'Thriller']",Horror,2013,3,5000000.0,FilmDistrict,PG-13,Original,Yes,161900000,Horror,5487221.36,LowBudget,177676227.6,1,335,Top100+,0,2,2
197,139034,A Hidden Life,2019-12-13,FOXA,Drama,63a669b4b6d713be3432ce3ffc73e229,twitter,search_term,t,101,7769,['Drama'],Drama,2019,9,8000000.0,Fox Searchlight Pictures,PG-13,Not Original,No,4100000,Drama,8000000.0,MediumBudget,4100000.0,4,79,Top100,1,1,4
198,44893,Robin Hood (2018),2018-11-21,LGF.A,Adventure,ee7f68760a364e0c7ffa74d1412e91ae,twitter,handle,t,101,7769,['Adventure'],Adventure,2018,8,99000000.0,Lionsgate,PG-13,Not Original,No,85800000,Adventure,100794087.97,HighBudget,87354876.24,3,19,Top100,2,0,3
199,36696,Blair Witch,2016-09-16,LGF.A,"Thriller, Horror",a63efa8863e7e205e5dd5211ec242186,twitter,search_term,t,101,7769,"['Thriller', 'Horror']",Thriller,2016,6,10000000.0,Lionsgate,R,Original,No,20777061,Thriller,10652074.28,MediumBudget,22131879.71,2,19,Top100,0,2,2
200,13003,The Jungle Book (2016),2016-04-15,DIS,"Adventure, Drama, Fantasy",d0b16fab945426c711c77967ea3fe8e9,facebook,search_term,t,101,7769,"['Adventure', 'Drama', 'Fantasy']",Adventure,2016,6,175000000.0,Walt Disney Pictures,PG,Not Original,No,966600000,Adventure,186411299.87,HighBudget,1029629499.74,2,4,Top5,2,3,0
201,13261,Black Panther,2018-02-16,DIS,"Sci Fi, Action, Adventure",05938eb70975afcc15723c295dce2c04,facebook,search_term,t,101,7769,"['Sci Fi', 'Action', 'Adventure']",Sci Fi,2018,8,200000000.0,Walt Disney Pictures,PG-13,Not Original,Yes,700059566,Fantasy,203624420.15,HighBudget,712746115.99,3,4,Top5,2,0,3
202,60946,2 Guns,2013-08-02,CMCSA,"Drama, Thriller, Action, Crime",db966ae301c11f86d0900ddb8f5af7d1,twitter,search_term,t,101,7769,"['Drama', 'Thriller', 'Action', 'Crime']",Drama,2013,3,61000000.0,Universal Pictures,R,Not Original,No,75612460,Drama,66944100.58,HighBudget,82980461.1,1,3,Top5,0,2,2
