,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin
4690,95646,Maleficent: Mistress of Evil ,2019-10-18,DIS,"Fantasy, Action, Adventure",bc1fa8dfb9b421cd0f995690af527bca,twitter,search_term,t,101,7769,"['Fantasy', 'Action', 'Adventure']",Fantasy,2019,4
4691,112946,Avengers: Endgame ,2019-04-26,DIS,Action,4b9338567b4dd1a971a5fdbf433cd525,twitter,search_term,t,101,7769,['Action'],Action,2019,4
4692,71602,Frozen 2 ,2019-11-27,DIS,"Animation, Comedy, Adventure",7b3e596a822d2fd1ef28f9b404f63c5e,facebook,page,t,101,7769,"['Animation', 'Comedy', 'Adventure']",Animation,2019,4
4693,59294,Jurassic World: Fallen Kingdom ,2018-06-22,CMCSA,"Adventure, Sci Fi, Action",51c539600e679b5714309ef2a9811294,facebook,search_term,t,101,7769,"['Adventure', 'Sci Fi', 'Action']",Adventure,2018,3
4694,30566,The Fate of the Furious ,2017-04-14,CMCSA,"Thriller, Action, Crime",d5eed36f4bc8c1cf91d59893d6f029ff,twitter,search_term,t,101,7769,"['Thriller', 'Action', 'Crime']",Thriller,2017,2
4695,56619,F9 ,2020-05-22,CMCSA,"Action, Adventure",540d344c6df802b137c10e66b4a39663,facebook,page,t,101,7769,"['Action', 'Adventure']",Action,2020,5
4696,10660,Furious 7 ,2015-04-03,CMCSA,"Action, Thriller, Crime",540d344c6df802b137c10e66b4a39663,facebook,page,t,101,7769,"['Action', 'Thriller', 'Crime']",Action,2015,1
4697,69530,Aladdin (2019) ,2019-05-24,DIS,"Fantasy, Adventure, Family",6d4484eb778d18f4262235f3faef51ab,facebook,search_term,t,101,7769,"['Fantasy', 'Adventure', 'Family']",Fantasy,2019,4
4698,67620,Solo: A Star Wars Story ,2018-05-25,DIS,"Adventure, Fantasy, Action",2e4c8a136b4f825782459616fc942b4d,facebook,search_term,t,101,7769,"['Adventure', 'Fantasy', 'Action']",Adventure,2018,3
4699,146437,Halloween Ends ,2021-10-15,CMCSA,"Horror, Thriller",5457c8d37c056511ecd5d6e3355e0c67,twitter,search_term,t,101,7769,"['Horror', 'Thriller']",Horror,2021,5
4700,61467,Fast & Furious ,,CMCSA,Action,540d344c6df802b137c10e66b4a39663,facebook,page,t,101,7769,['Action'],Action,,
4701,55930,How to Train Your Dragon: The Hidden World ,2019-02-22,CMCSA,Animation,00947695966940b937fabad5afa948d7,twitter,search_term,t,101,7769,['Animation'],Animation,2019,4
4702,55930,How to Train Your Dragon: The Hidden World ,2019-02-22,CMCSA,Animation,337374c08ab7bfea3e347c350a7ca6d5,twitter,search_term,t,101,7769,['Animation'],Animation,2019,4
4703,13013,Shazam! ,2019-04-05,T,"Action, Fantasy",b2c51e2732584fc9b3c5222d220e78a5,twitter,handle,t,101,7769,"['Action', 'Fantasy']",Action,2019,4
4704,95440,Five Feet Apart ,2019-03-15,CBS,Drama,a7728c60f0281549b54caebfa302ec8e,facebook,search_term,t,101,7769,['Drama'],Drama,2019,4
4705,96011,Overcomer ,2019-08-23,,Drama,5cff46f498d20e059026c77e5a1b4d64,twitter,search_term,t,101,7769,['Drama'],Drama,2019,4
4706,23659,Trolls ,2016-11-04,FOXA,"Fantasy, Family, Musical, Adventure, Animation",c37912888460ad137e59351e3fc6a523,twitter,search_term,t,101,7769,"['Fantasy', 'Family', 'Musical', 'Adventure', 'Animation']",Fantasy,2016,2
4707,101655,The Conjuring: The Devil Made Me Do It ,2020-09-11,T,Horror,bd1816d637ca3f85c84a59805601713b,twitter,search_term,t,101,7769,['Horror'],Horror,2020,5
4708,16979,The Secret Life of Pets ,2016-07-08,CMCSA,"Animation, Comedy, Family",dc5aa1e2ca78188fa144adcf49274523,twitter,search_term,t,101,7769,"['Animation', 'Comedy', 'Family']",Animation,2016,2
4709,55930,How to Train Your Dragon: The Hidden World ,2019-02-22,CMCSA,Animation,233592e9759e764cb4bd20de659c728b,twitter,search_term,t,101,7769,['Animation'],Animation,2019,4
4710,30566,The Fate of the Furious ,2017-04-14,CMCSA,"Thriller, Action, Crime",540d344c6df802b137c10e66b4a39663,facebook,page,t,101,7769,"['Thriller', 'Action', 'Crime']",Thriller,2017,2
4711,59294,Jurassic World: Fallen Kingdom ,2018-06-22,CMCSA,"Adventure, Sci Fi, Action",0461684f48ff339abf351c58fbe11d40,facebook,search_term,t,101,7769,"['Adventure', 'Sci Fi', 'Action']",Adventure,2018,3
4712,70714,It: Chapter Two ,2019-09-06,T,Horror,25587658a1a7acd5c54673734e832eba,twitter,search_term,t,101,7769,['Horror'],Horror,2019,4
4713,69528,John Wick: Chapter 3 - Parabellum ,2019-05-17,LGF.A,"Thriller, Crime, Action",4f84891bc7d404ddd2449b752af67b6e,twitter,search_term,t,101,7769,"['Thriller', 'Crime', 'Action']",Thriller,2019,4
4714,12273,Muppets Most Wanted ,2014-03-21,DIS,"Adventure, Crime, Comedy",879646cc05a0dd4a533107862aca33c4,twitter,search_term,t,101,7769,"['Adventure', 'Crime', 'Comedy']",Adventure,2014,1
4715,68235,The Angry Birds Movie 2 ,2019-08-13,,"Action, Animation, Adventure",2f17ebe211e60a9ff3021f4e63561be8,twitter,search_term,t,101,7769,"['Action', 'Animation', 'Adventure']",Action,2019,4
4716,141052,Gretel & Hansel (2020) ,2020-01-31,,"Thriller, Horror, Fantasy",99db36a72e08d0746d11a8bc6b32f412,twitter,search_term,t,101,7769,"['Thriller', 'Horror', 'Fantasy']",Thriller,2020,5
4717,146630,A Quiet Place Part II ,,VIA,"Horror, Thriller",592a4125297a75d7bc2d659cc3b89a70,twitter,search_term,t,101,7769,"['Horror', 'Thriller']",Horror,,
4718,24736,Jumanji: Welcome to the Jungle ,2017-12-20,,"Adventure, Fantasy, Family",6e4bb8334ced40adf423bfccebf6c8b3,facebook,page,t,101,7769,"['Adventure', 'Fantasy', 'Family']",Adventure,2017,2
4719,30566,The Fate of the Furious ,2017-04-14,CMCSA,"Thriller, Action, Crime",ab1b9d3f41b535883ab538deeed29963,facebook,search_term,t,101,7769,"['Thriller', 'Action', 'Crime']",Thriller,2017,2
4720,99092,Jumanji: The Next Level ,2019-12-13,,"Comedy, Action",06af4c954a8144341270fde585b36a1f,twitter,search_term,t,101,7769,"['Comedy', 'Action']",Comedy,2019,4
4721,61526,Halloween II ,1981-10-30,CMCSA,Horror,0e4ea7cd9a7abb670e492f0b40b9a9b1,twitter,search_term,t,101,7769,['Horror'],Horror,1981,1
4722,75774,The Addams Family (2019) ,2019-10-11,,Animation,e2a8a7756af69fcce691e08fd14d7ba4,twitter,search_term,t,101,7769,['Animation'],Animation,2019,4
4723,61467,Fast & Furious ,,CMCSA,Action,ab1b9d3f41b535883ab538deeed29963,facebook,search_term,t,101,7769,['Action'],Action,,
4724,127224,Brahms: The Boy II ,2020-02-21,,"Mystery, Horror, Thriller",46a8700866c643e6ba05ae384c507372,twitter,search_term,t,101,7769,"['Mystery', 'Horror', 'Thriller']",Mystery,2020,5
4725,10676,Jurassic World ,2015-06-12,CMCSA,"Action, Sci Fi, Adventure",561f732c8a38a1d34012d26ebfa2d3b2,twitter,search_term,t,101,7769,"['Action', 'Sci Fi', 'Adventure']",Action,2015,1
4726,122262,Morbius ,2020-07-31,,"Sci Fi, Action, Horror",c788b7f66b5e42b51da05cd045725035,twitter,search_term,t,101,7769,"['Sci Fi', 'Action', 'Horror']",Sci Fi,2020,5
4727,141046,Halloween Kills ,2020-10-16,CMCSA,"Horror, Thriller",e424a00b18793c07bd335f659f58589f,twitter,search_term,t,101,7769,"['Horror', 'Thriller']",Horror,2020,5
4728,117873,Angel has Fallen ,2019-08-23,,Action,3391deb33cbca46507576c17c88b8093,instagram,page,t,101,7769,['Action'],Action,2019,4
4729,44891,Peter Rabbit (2018) ,2018-02-09,,"Comedy, Adventure, Animation",e0128ea25775b9f05247d59e76bd331b,twitter,search_term,t,101,7769,"['Comedy', 'Adventure', 'Animation']",Comedy,2018,3
4730,99092,Jumanji: The Next Level ,2019-12-13,,"Comedy, Action",6e4bb8334ced40adf423bfccebf6c8b3,facebook,page,t,101,7769,"['Comedy', 'Action']",Comedy,2019,4
4731,124580,I Still Believe ,2020-03-13,,Drama,c51b3e78adf1c267ab751a07649171f7,twitter,search_term,t,101,7769,['Drama'],Drama,2020,5
4732,111814,Downton Abbey (2019) ,2019-09-20,CMCSA,Drama,12b29e5f80cc9490e25b42b3513f2c08,twitter,search_term,t,101,7769,['Drama'],Drama,2019,4
4733,61594,Jumanji ,1995-12-15,,"Adventure, Family, Fantasy",6e4bb8334ced40adf423bfccebf6c8b3,facebook,page,t,101,7769,"['Adventure', 'Family', 'Fantasy']",Adventure,1995,1
4734,10546,X-Men: Days of Future Past ,2014-05-23,FOXA,"Sci Fi, Adventure, Action",f0621f8bfca3bd9f8c11c7591bf66995,twitter,search_term,t,101,7769,"['Sci Fi', 'Adventure', 'Action']",Sci Fi,2014,1
4735,111122,Rambo: Last Blood ,2019-09-20,LGF.A,Action,064a4793c21cec8ee9f602af2240a50f,twitter,search_term,t,101,7769,['Action'],Action,2019,4
4736,141052,Gretel & Hansel (2020) ,2020-01-31,,"Thriller, Horror, Fantasy",197c7265eff5f3045307767eb301ddd0,instagram,page,t,101,7769,"['Thriller', 'Horror', 'Fantasy']",Thriller,2020,5
4737,23659,Trolls ,2016-11-04,FOXA,"Fantasy, Family, Musical, Adventure, Animation",224046314ad3087b7144c5861b293a65,facebook,search_term,t,101,7769,"['Fantasy', 'Family', 'Musical', 'Adventure', 'Animation']",Fantasy,2016,2
4738,10660,Furious 7 ,2015-04-03,CMCSA,"Action, Thriller, Crime",be423bbe6eccd0fcbab39bcaa685a75c,twitter,search_term,t,101,7769,"['Action', 'Thriller', 'Crime']",Action,2015,1
4739,52118,Mulan (Live Action) ,2020-07-24,DIS,"Adventure, Drama, Action",204ab7c59212371229597cd8216e8c33,twitter,search_term,t,101,7769,"['Adventure', 'Drama', 'Action']",Adventure,2020,5
