,brand_ods_id,replace,released_on,ticker_symbol,genres,data_profile_dcs_uid,data_profile_channel_type,data_profile_source_type,data_affiliation_active_flag,data_affiliation_start_date_key,data_affiliation_end_date_key,genre_list,top_genre,released_year,year_bin,budget,production_company,rating,source,franchise,DomesticGross,genre_grouped,inflated_budget,budget_cat,inflated_boxoffice,year_q_bin,rank,production_company_bin,cluster_id
128,10669,Pixels,2015-07-24,,"Family, Comedy, Action",101fc897a436644ff559cd4b6dd88aba,twitter,search_term,t,101,7769,"['Family', 'Comedy', 'Action']",Family,2015,5,90000000.0,Sony Pictures,PG-13,Not Original,No,78765986,Family,0.4286896795886295,HighBudget,-0.26613526124831877,2,193,Top100+,0
129,12279,The Walk,2015-10-09,,Drama,97ae1c11f942af84b405f7b227e8741f,facebook,page,t,101,7769,['Drama'],Drama,2015,5,35000000.0,Sony Pictures,PG,Not Original,Yes,10161183,Drama,-0.41909004361897995,MediumBudget,-0.6319841171865642,2,193,Top100+,4
130,10678,Inside Out,2015-06-19,DIS,Animation,b9813c9d35949074b2b44895e9f4cd93,facebook,page,t,101,7769,['Animation'],Animation,2015,5,175000000.0,Walt Disney Pictures,PG,Original,No,356461711,Family,1.73889470607822,HighBudget,1.2147328244128632,2,4,Top5,2
131,33015,Kingsman: The Golden Circle,2017-09-22,FOXA,"Action, Comedy, Adventure",9a93c7fd112f262ae26bc1ac04f01595,instagram,page,t,101,7769,"['Action', 'Comedy', 'Adventure']",Action,2017,7,104000000.0,20th Century Fox,R,Not Original,Yes,100234838,Action,0.5914975137263329,HighBudget,-0.169317282552067,3,7,Top100,1
132,82200,Christopher Robin,2018-08-03,DIS,"Animation, Adventure, Comedy",af63c4b990be7300f656affa3a53309d,facebook,page,t,101,7769,"['Animation', 'Adventure', 'Comedy']",Animation,2018,8,75000000.0,Walt Disney Pictures,PG,Not Original,No,99215042,Family,0.1326092644930036,HighBudget,-0.1867739639482056,3,4,Top5,1
133,16072,The Divergent Series: Allegiant,2016-03-18,LGF.A,"Romance, Sci Fi, Action, Adventure",9dfde780857b2bda1537c67e0260a78b,facebook,page,t,101,7769,"['Romance', 'Sci Fi', 'Action', 'Adventure']",Romance,2016,6,110000000.0,Lionsgate,PG-13,Not Original,Yes,66184051,Drama,0.7158488237409049,HighBudget,-0.33762810459470805,2,19,Top100,7
134,16904,Risen,2016-02-19,,Action,63783d357d25958d2e4fa6f05d8d7da0,instagram,page,t,101,6766,['Action'],Action,2016,6,20000000.0,Sony Pictures,PG-13,Original,No,36880033,Action,-0.6541434936993668,MediumBudget,-0.49195074271393596,2,193,Top100+,9
135,74898,The Miracle Season,2018-04-06,,"Drama, Sport",31143efa9615fce3e28c50806d478917,twitter,search_term,t,101,7769,"['Drama', 'Sport']",Drama,2018,8,0.0,LD Entertainment,PG,Original,No,10200000,Drama,-0.9585862309718284,LowBudget,-0.6348291890460562,3,293,Top100+,2
136,29418,Baby Driver,2017-06-28,,"Crime, Action, Music",c79e78b33c7c3767e4988f32e1377b27,facebook,search_term,t,101,7769,"['Crime', 'Action', 'Music']",Crime,2017,7,34000000.0,Sony Pictures,R,Original,No,107825862,Thriller,-0.4518280836556678,MediumBudget,-0.13017474006473556,3,193,Top100+,3
137,10621,Penguins of Madagascar,2014-11-26,FOXA,"Adventure, Comedy, Animation",147af3a2934d5a28e8a4c100565abe68,twitter,search_term,t,101,7769,"['Adventure', 'Comedy', 'Animation']",Adventure,2014,4,132000000.0,20th Century Fox,PG,Original,Yes,83350911,Adventure,1.0784987767381014,HighBudget,-0.241157949847977,1,7,Top100,6
